id,name,normalized_name,gender,Simpson_fam
4154,Canadian Skipper,canadian skipper,u,FALSE
4155,AMERICAN/CANADIAN SKIPPERS,americancanadian skippers,u,FALSE
4156,Contestant #1,contestant 1,u,FALSE
4157,Contestant #2,contestant 2,u,FALSE
4158,Farmer Billy,farmer billy,m,FALSE
4159,Pig Owner,pig owner,u,FALSE
4160,Salad,salad,u,FALSE
4161,Nichelle Nichols,nichelle nichols,u,FALSE
4162,Pie #1,pie 1,u,FALSE
4163,Pie #2,pie 2,u,FALSE
4086,Simon,simon,m,FALSE
4167,Girl Scout,girl scout,f,FALSE
4168,Dalai Lama,dalai lama,m,FALSE
4170,10-Year-Old Lenny,10-year-old lenny,m,FALSE
4171,10-Year-Old Carl,10-year-old carl,m,FALSE
4172,T.J.,tj,m,FALSE
4173,Ms. Killebrew,ms killebrew,f,FALSE
4174,TEN-YEAR-OLD MARGE,ten-year-old marge,f,TRUE
4175,Young Helen,young helen,f,FALSE
4176,Homer's Mind,homers mind,m,TRUE
4177,Marge's Mind,marges mind,f,TRUE
4178,Guard On Walkie-talkie,guard on walkie-talkie,u,FALSE
4179,Junkies,junkies,u,FALSE
4180,Barney's Voice,barneys voice,m,FALSE
4181,Managing Editor,managing editor,u,FALSE
4182,Eager Young Reporter,eager young reporter,u,FALSE
4183,GOLF-COURSE EMPLOYEE,golf-course employee,u,FALSE
4184,Other Golfers,other golfers,u,FALSE
4186,Elderly Southern Senator,elderly southern senator,u,FALSE
4187,Other Senators,other senators,u,FALSE
4188,Aide #1,aide 1,u,FALSE
4189,Aide #2,aide 2,u,FALSE
4190,Swat Team Leader,swat team leader,u,FALSE
4191,Detainee #1,detainee 1,u,FALSE
4192,Detainee #3,detainee 3,u,FALSE
4193,U.S. Constitution,us constitution,u,FALSE
4194,Bill O' Rights,bill o rights,u,FALSE
4195,Old Coot,old coot,u,FALSE
4196,Young Guard,young guard,u,FALSE
4197,Immigration Officer,immigration officer,u,FALSE
4198,Girlfriend,girlfriend,f,FALSE
4199,Cartoon Eagle,cartoon eagle,u,FALSE
4200,NVA SGT.,nva sgt,u,FALSE
4201,Alien Boss,alien boss,u,FALSE
4202,Harlot,harlot,u,FALSE
4205,Dr. Bartley,dr bartley,u,FALSE
4206,Cockney Woman,cockney woman,f,FALSE
4207,Peter Pan,peter pan,m,FALSE
4208,Purveyor,purveyor,u,FALSE
4209,Stool,stool,u,FALSE
4210,Mao,mao,m,FALSE
4211,Ebenezer Burns,ebenezer burns,m,FALSE
4212,Addicts,addicts,u,FALSE
4213,Lord Mayor Quimby,lord mayor quimby,m,FALSE
4214,Pleasant Female Voice,pleasant female voice,u,FALSE
4215,Blackula,blackula,m,FALSE
4216,2nd Homer,2nd homer,m,TRUE
4217,Potluckers,potluckers,u,FALSE
4218,Marge's Face,marges face,f,TRUE
4219,Billy Bullion Cube,billy bullion cube,m,FALSE
4220,STUART,stuart,m,FALSE
4221,James Caan,james caan,m,FALSE
4222,Head Judge,head judge,u,FALSE
4223,Twinkle the Kidd,twinkle the kidd,u,FALSE
4224,PRINGLES-TYPE MAN,pringles-type man,m,FALSE
4225,Koobler Dwarf,koobler dwarf,f,FALSE
4226,Food Icons,food icons,u,FALSE
4227,Eight-year-old Girl,eight-year-old girl,f,FALSE
4228,Eight-year-old Girl's Friend,eight-year-old girls friend,f,FALSE
4229,Male Clerk,male clerk,m,FALSE
4230,Reflection,reflection,u,FALSE
